monet,monet_0000,0.625,1.34022,16.93889,"[255.0, 255.0, 255.0]","[63.0, 63.0, 63.0]","[191.0, 191.0, 255.0]","[0.0, 0.0, 0.0]","[127.0, 127.0, 63.0]"
monet,monet_0001,1.45631,0.04762,0.01942,"[0.0, 63.0, 63.0]","[127.0, 127.0, 127.0]","[0.0, 0.0, 63.0]","[63.0, 63.0, 63.0]","[191.0, 191.0, 127.0]"
monet,monet_0002,1.41509,0.0,0.0,"[63.0, 0.0, 0.0]","[191.0, 127.0, 127.0]","[0.0, 0.0, 0.0]","[127.0, 63.0, 63.0]","[191.0, 191.0, 127.0]"
monet,monet_0003,0.76142,0.0,0.0,"[63.0, 63.0, 63.0]","[191.0, 191.0, 191.0]","[63.0, 63.0, 0.0]","[127.0, 127.0, 63.0]","[127.0, 63.0, 63.0]"
monet,monet_0004,0.66667,0.06671,2.12741,"[0.0, 0.0, 0.0]","[127.0, 127.0, 127.0]","[191.0, 191.0, 191.0]","[63.0, 63.0, 63.0]","[255.0, 255.0, 255.0]"
monet,monet_0005,0.7109,2.33639,2.4139,"[191.0, 191.0, 191.0]","[63.0, 63.0, 63.0]","[127.0, 127.0, 63.0]","[191.0, 255.0, 191.0]","[191.0, 191.0, 127.0]"
monet,monet_0006,0.65217,3.64645,12.1971,"[0.0, 0.0, 0.0]","[255.0, 255.0, 255.0]","[127.0, 127.0, 63.0]","[63.0, 63.0, 0.0]","[191.0, 191.0, 255.0]"
monet,monet_0007,0.8427,0.0,0.0,"[63.0, 63.0, 63.0]","[255.0, 191.0, 191.0]","[127.0, 127.0, 63.0]","[127.0, 63.0, 63.0]","[191.0, 191.0, 191.0]"
monet,monet_0008,0.65502,0.0,0.0,"[191.0, 127.0, 127.0]","[63.0, 0.0, 0.0]","[127.0, 127.0, 127.0]","[127.0, 127.0, 63.0]","[63.0, 63.0, 63.0]"
monet,monet_0009,0.66372,0.0,0.0,"[127.0, 127.0, 127.0]","[191.0, 127.0, 127.0]","[63.0, 63.0, 63.0]","[191.0, 127.0, 63.0]","[191.0, 191.0, 127.0]"
monet,monet_0010,0.7177,0.01163,0.00319,"[127.0, 127.0, 63.0]","[255.0, 255.0, 191.0]","[191.0, 191.0, 127.0]","[63.0, 63.0, 63.0]","[0.0, 63.0, 63.0]"
monet,monet_0012,0.43988,9.0,0.0176,"[127.0, 127.0, 63.0]","[255.0, 191.0, 127.0]","[63.0, 63.0, 63.0]","[255.0, 191.0, 63.0]","[191.0, 127.0, 127.0]"
monet,monet_0013,1.37615,0.14286,0.36086,"[127.0, 127.0, 63.0]","[191.0, 191.0, 127.0]","[0.0, 0.0, 63.0]","[63.0, 63.0, 63.0]","[127.0, 127.0, 127.0]"
monet,monet_0014,0.92593,0.23158,1.70782,"[63.0, 63.0, 63.0]","[191.0, 191.0, 255.0]","[127.0, 127.0, 127.0]","[0.0, 0.0, 0.0]","[191.0, 191.0, 191.0]"
monet,monet_0015,0.76923,4.44252,7.00171,"[127.0, 127.0, 63.0]","[255.0, 255.0, 255.0]","[63.0, 63.0, 63.0]","[127.0, 127.0, 127.0]","[191.0, 191.0, 191.0]"
monet,monet_0016,0.52817,0.0,0.0,"[63.0, 63.0, 0.0]","[191.0, 191.0, 127.0]","[191.0, 127.0, 63.0]","[255.0, 191.0, 127.0]","[127.0, 127.0, 63.0]"
monet,monet_0017,0.54745,396.66667,2.89538,"[191.0, 191.0, 191.0]","[63.0, 63.0, 63.0]","[255.0, 255.0, 191.0]","[127.0, 127.0, 63.0]","[191.0, 191.0, 127.0]"
monet,monet_0019,1.89873,0.08442,0.1097,"[191.0, 191.0, 127.0]","[63.0, 63.0, 0.0]","[191.0, 127.0, 63.0]","[127.0, 63.0, 63.0]","[0.0, 63.0, 0.0]"
monet,monet_0020,0.91463,5.63333,0.68699,"[127.0, 127.0, 63.0]","[191.0, 191.0, 255.0]","[63.0, 63.0, 63.0]","[191.0, 191.0, 127.0]","[127.0, 127.0, 127.0]"
monet,monet_0021,0.93168,0.0,0.0,"[63.0, 0.0, 0.0]","[191.0, 191.0, 127.0]","[127.0, 63.0, 63.0]","[127.0, 127.0, 191.0]","[63.0, 63.0, 63.0]"
monet,monet_0022,0.72464,0.33534,3.77456,"[63.0, 63.0, 63.0]","[255.0, 255.0, 255.0]","[127.0, 127.0, 127.0]","[191.0, 191.0, 191.0]","[0.0, 0.0, 0.0]"
monet,monet_0023,0.64378,0.89209,1.41917,"[127.0, 127.0, 63.0]","[127.0, 191.0, 255.0]","[63.0, 63.0, 0.0]","[191.0, 191.0, 191.0]","[63.0, 63.0, 63.0]"
monet,monet_0024,0.69124,0.0,0.0,"[127.0, 191.0, 191.0]","[0.0, 63.0, 63.0]","[191.0, 191.0, 191.0]","[191.0, 191.0, 255.0]","[127.0, 127.0, 127.0]"
monet,monet_0026,0.74257,0.0,0.0,"[127.0, 63.0, 63.0]","[63.0, 63.0, 0.0]","[63.0, 63.0, 63.0]","[127.0, 127.0, 63.0]","[63.0, 0.0, 0.0]"
monet,monet_0027,0.63559,0.57143,0.0113,"[191.0, 127.0, 127.0]","[127.0, 127.0, 127.0]","[191.0, 191.0, 191.0]","[191.0, 191.0, 127.0]","[127.0, 63.0, 63.0]"
monet,monet_0029,0.74627,0.31014,0.35489,"[191.0, 191.0, 191.0]","[0.0, 0.0, 63.0]","[63.0, 63.0, 63.0]","[127.0, 127.0, 63.0]","[191.0, 191.0, 127.0]"
monet,monet_0030,1.14504,0.28299,0.82952,"[127.0, 127.0, 63.0]","[191.0, 191.0, 191.0]","[63.0, 63.0, 63.0]","[127.0, 127.0, 127.0]","[0.0, 0.0, 0.0]"
